prompt_type,metric,base_mean,base_ci_lo,base_ci_hi,instruct_mean,instruct_ci_lo,instruct_ci_hi,diff_mean,diff_ci_lo,diff_ci_hi,cohens_d,mann_whitney_U,p_value,n_base,n_instruct,p_corrected
self_reference,self_reference,0.34375,0.305,0.38125,0.8225,0.77875,0.8675,0.47875,0.42246874999999995,0.5375000000000001,0.7979279363271208,450011.5,3.66486240715615e-56,800,800,4.031348647871765e-55
self_reference,meta_cognition,0.085,0.06625,0.105,0.14375,0.11,0.17875,0.05874999999999998,0.018750000000000003,0.09999999999999999,0.14274508223780527,320087.0,0.9841195436217686,800,800,0.9841195436217686
self_reference,hedging,0.09875,0.075,0.125,0.3875,0.34371875,0.4325,0.28875,0.2375,0.34125000000000005,0.5459096796035977,393966.0,2.7649780946495565e-31,800,800,2.7649780946495564e-30
structured_novelty,self_reference,0.15,0.12,0.18125,0.59125,0.54625,0.63875,0.44125000000000003,0.385,0.4975,0.7740120852897439,442366.0,7.961970991202116e-60,800,800,9.554365189442539e-59
structured_novelty,meta_cognition,0.09875,0.07875,0.12,0.06375,0.0475,0.08125,-0.035,-0.0625,-0.008718750000000448,-0.12722075948401024,308439.5,0.007982056080108428,800,800,0.03991028040054214
structured_novelty,hedging,0.10125,0.07375,0.13125,0.24375,0.2125,0.2775,0.1425,0.09874999999999999,0.18625000000000003,0.31731821077526906,368037.5,1.1806103137975913e-17,800,800,9.44488251038073e-17
topic_control,self_reference,0.00375,0.0,0.00875,0.00125,0.0,0.00375,-0.0024999999999999996,-0.0075,0.0024999999999999996,-0.050046999853711166,319200.0,0.31715866058275066,800,800,0.951475981748252
topic_control,meta_cognition,0.0025,0.0,0.00625,0.0,0.0,0.0,-0.0025,-0.00625,0.0,-0.07075496918351672,319200.0,0.15742890777072738,800,800,0.6297156310829095
topic_control,hedging,0.00375,0.0,0.00875,0.00125,0.0,0.00375,-0.0024999999999999996,-0.0075,0.0024999999999999996,-0.050046999853711166,319200.0,0.31715866058275066,800,800,0.951475981748252
unconstrained,self_reference,0.04375,0.02875,0.06,0.1875,0.16125,0.215,0.14375,0.11250000000000002,0.17503124999999956,0.4442132335099854,367242.5,7.82220789968877e-21,800,800,7.039987109719893e-20
unconstrained,meta_cognition,0.09,0.07121875000000003,0.11,0.0125,0.005,0.02125,-0.0775,-0.09875,-0.05625000000000001,-0.3567950472606341,295200.0,2.111583941794128e-12,800,800,1.4539383220835169e-11
unconstrained,hedging,0.02125,0.00875,0.035,0.09375,0.07375,0.115,0.0725,0.04875,0.09625,0.29486347011687936,345375.0,2.0770547458335957e-12,800,800,1.4539383220835169e-11
